variant,scenario,contact_index,geom1_id,geom1_name,geom2_id,geom2_name,body1_name,body2_name,contact_pos_x,contact_pos_y,contact_pos_z,contact_dist,normal_force,force_x,force_y,force_z,classified_side,classified_region,is_floor_contact
simple_toe_center_heel,neutral,18,0,floor,18,L_foot_contact_simple_toe_center_heel_center,world,L_link_ankle_pitch,-0.05480224834399934,0.180899852692614,-0.0007857409154874801,-0.0015714818309749603,3.45021574105291,3.45021574105291,-0.5176352205516849,0.6217095882136916,left,center,True
simple_toe_center_heel,neutral,19,0,floor,18,L_foot_contact_simple_toe_center_heel_center,world,L_link_ankle_pitch,-0.012820947348834613,0.18123276487585227,-0.001389797252188147,-0.002779594504376294,3.1551868908845697,3.1551868908845697,0.16717437598889318,1.1132120598254693,left,center,True
simple_toe_center_heel,neutral,20,0,floor,19,L_foot_contact_simple_toe_center_heel_toe,world,L_link_ankle_pitch,-0.024874478012373115,0.11313506597317191,-0.0011801530875740155,-0.002360306175148031,1.233949126982898,1.233949126982898,-0.028906368258701853,-0.18088533638077603,left,toe,True
simple_toe_center_heel,neutral,21,0,floor,19,L_foot_contact_simple_toe_center_heel_toe,world,L_link_ankle_pitch,0.00871056278375866,0.11340139571976252,-0.0016633981569345478,-0.0033267963138690956,1.0079151896229528,1.0079151896229528,0.5089521661989057,0.21231664090866145,left,toe,True
simple_toe_center_heel,neutral,22,0,floor,19,L_foot_contact_simple_toe_center_heel_toe,world,L_link_ankle_pitch,-0.025396248483795403,0.17873296797684401,-0.0012075770359919183,-0.0024151540719838365,3.172763319383,3.172763319383,-0.037938074689222834,0.9252914364104892,left,toe,True
simple_toe_center_heel,neutral,23,0,floor,19,L_foot_contact_simple_toe_center_heel_toe,world,L_link_ankle_pitch,0.008188792312336372,0.1789992977234346,-0.0016908221053524505,-0.003381644210704901,2.9367402392480084,2.9367402392480084,0.5099096025432625,1.3184934136999265,left,toe,True
simple_toe_center_heel,forward_pitch,0,0,floor,10,R_foot_contact_simple_toe_center_heel_toe,world,R_link_ankle_pitch,-0.04918487549073226,-0.17946842045005001,-0.00030755775625891917,-0.0006151155125178383,7.535621118771466,7.535621118771466,0.11063830133702579,3.9119838554045487,right,toe,True
simple_toe_center_heel,forward_pitch,1,0,floor,10,R_foot_contact_simple_toe_center_heel_toe,world,R_link_ankle_pitch,-0.04990428514554664,-0.113872394114888,-0.0002768218436801648,-0.0005536436873603296,3.6299502381025075,3.6299502381025075,0.1367455765438521,0.7155022739090198,right,toe,True
simple_toe_center_heel,forward_pitch,2,0,floor,19,L_foot_contact_simple_toe_center_heel_toe,world,L_link_ankle_pitch,-0.052013727005965515,0.11340147266729902,-0.0002448702572952974,-0.0004897405145905948,4.943204953049156,4.943204953049156,0.023433785956867403,1.05363169671914,left,toe,True
simple_toe_center_heel,forward_pitch,3,0,floor,19,L_foot_contact_simple_toe_center_heel_toe,world,L_link_ankle_pitch,-0.05253743219755108,0.1789993796757069,-0.00023580123613896851,-0.00047160247227793703,5.831890180473329,5.831890180473329,-0.0026371019513211635,3.3491613173192767,left,toe,True
simple_toe_center_heel,backward_pitch,0,0,floor,8,R_foot_contact_simple_toe_center_heel_heel,world,R_link_ankle_pitch,-0.010094005585027065,-0.18037356731120946,-0.0030857479236529976,-0.006171495847305995,15.076598907657601,15.076598907657601,0.4752523276930938,4.344963044571142,right,heel,True
simple_toe_center_heel,backward_pitch,1,0,floor,8,R_foot_contact_simple_toe_center_heel_heel,world,R_link_ankle_pitch,0.02329886726207938,-0.18000429463862638,-0.0012323941588347513,-0.0024647883176695026,0.0,0.0,0.0,0.0,right,heel,True
simple_toe_center_heel,backward_pitch,2,0,floor,8,R_foot_contact_simple_toe_center_heel_heel,world,R_link_ankle_pitch,-0.010803983362489921,-0.11477755632955382,-0.0031551648704694025,-0.006310329740938805,20.050950780732524,20.050950780732524,0.6094766416709136,-8.19203226737623,right,heel,True
simple_toe_center_heel,backward_pitch,3,0,floor,8,R_foot_contact_simple_toe_center_heel_heel,world,R_link_ankle_pitch,0.02258888948461652,-0.11440828365697073,-0.0013018111056511557,-0.0026036222113023115,0.0,0.0,0.0,0.0,right,heel,True
simple_toe_center_heel,backward_pitch,4,0,floor,9,R_foot_contact_simple_toe_center_heel_center,world,R_link_ankle_pitch,0.009411145039188145,-0.18255801231250712,-0.0020020852497799734,-0.004004170499559947,0.0,0.0,0.0,0.0,right,center,True
simple_toe_center_heel,backward_pitch,5,0,floor,9,R_foot_contact_simple_toe_center_heel_center,world,R_link_ankle_pitch,0.008649217668252395,-0.11216229321024256,-0.002076581485387821,-0.004153162970775642,0.45620813607560334,0.45620813607560334,0.0,-0.45620813607560334,right,center,True
simple_toe_center_heel,backward_pitch,6,0,floor,10,R_foot_contact_simple_toe_center_heel_toe,world,R_link_ankle_pitch,0.03860393398366984,-0.17983504466369246,-0.0003829403499597227,-0.0007658806999194454,0.0,0.0,0.0,0.0,right,toe,True
simple_toe_center_heel,backward_pitch,7,0,floor,10,R_foot_contact_simple_toe_center_heel_toe,world,R_link_ankle_pitch,0.03789395620620699,-0.11423903368203682,-0.00045235729677612756,-0.0009047145935522551,0.0,0.0,0.0,0.0,right,toe,True
simple_toe_center_heel,backward_pitch,8,0,floor,17,L_foot_contact_simple_toe_center_heel_heel,world,L_link_ankle_pitch,-0.012853975446429754,0.11274670159533841,-0.0034051079100346424,-0.006810215820069285,15.044980864447595,15.044980864447595,-1.0692742561544208,-7.904515508951006,left,heel,True
simple_toe_center_heel,backward_pitch,9,0,floor,17,L_foot_contact_simple_toe_center_heel_heel,world,L_link_ankle_pitch,0.020540702068256426,0.11301215760942365,-0.001555442616346471,-0.003110885232692942,0.0,0.0,0.0,0.0,left,heel,True
